Reg_yr,Manufacturing_yr,Km_driven,Engine capacity,Prev_owners,Cylinders,Max Power,Seater,Ground_clearance,Bootspace,Fueltank,Airbags,Fueltype,RTO,Transmission,Insurance_expiry,Insurance_type,Drivetrain,Bodytype,Model,Brand,City,Price
Jul 2010,2010,"72,000 Kms",998 cc,Second Owner,3,67.1bhp@6200rpm,5,160 mm,,35 Litres,0,Petrol,Ahmedabad,Manual,,,FWD,hatchback,maruti alto k10,maruti,ahmedabad,₹1.50 Lakh
Jun 2019,2019,"66,460 Kms",998 cc,First Owner,3,67.1bhp@6000rpm,5,160 mm,,35 Litres,1,Petrol,Pune,Automatic,,,FWD,hatchback,maruti alto k10,maruti,pune,₹3.60 Lakh
Jan 2023,2022,"11,768 Kms",998 cc,First Owner,3,65.71bhp@5500rpm,5,,,27 Litres,3,Petrol,Ahmedabad,Manual,,,,hatchback,maruti alto k10,maruti,ahmedabad,₹3.98 Lakh
,,,,,,,,,,,0,,,,,,,,,,,
Apr 2016,2016,"59,611 Kms",998 cc,First Owner,3,65.71bhp@5500rpm,5,,214  Litres,27 Litres,4,Petrol,Bangalore,Manual,,,FWD,hatchback,maruti alto k10,maruti,bangalore,₹3.26 Lakh
Nov 2012,2012,"57,662 Kms",998 cc,Second Owner,3,67.05bhp@6000rpm,5,160 mm,,35 Litres,2,Petrol,Bangalore,Manual,,,FWD,hatchback,maruti alto k10,maruti,bangalore,₹2.37 Lakh
Aug 2015,2015,"1,20,910 Kms",998 cc,First Owner,3,67.05bhp@6000rpm,5,160 mm,,35 Litres,2,Petrol,Bijapur,Manual,,,FWD,hatchback,maruti alto k10,alto k10 2014-2020,bangalore,₹2.85 Lakh
Jun 2015,2015,"25,959 Kms",998 cc,First Owner,3,65.71bhp@5500rpm,5,,214  Litres,27 Litres,4,Petrol,Chennai,Manual,,,FWD,hatchback,maruti alto k10,alto k10,chennai,₹2.80 Lakh
Feb 2017,2017,"48,974 Kms",998 cc,First Owner,3,65.71bhp@5500rpm,5,,214  Litres,27 Litres,4,Petrol,New Delhi,Manual,,,FWD,hatchback,maruti alto k10,maruti,greater noida,₹2.97 Lakh
Jun 2011,2011,"80,441 Kms",998 cc,First Owner,3,67.05bhp@6000rpm,5,160 mm,,35 Litres,2,Petrol,Tirupati,Manual,,,FWD,hatchback,maruti alto k10,alto k10 2014-2020,hyderabad,₹1.78 Lakh
Nov 2018,2018,"35,980 Kms",998 cc,First Owner,3,67.05bhp@6000rpm,5,160 mm,,35 Litres,2,Petrol,Ranga reddy,Manual,,,FWD,hatchback,maruti alto k10,alto k10 2014-2020,hyderabad,₹3.48 Lakh
May 2023,2023,"15,058 Kms",998 cc,First Owner,3,65.71bhp@5500rpm,5,,214  Litres,27 Litres,4,Petrol,Jaipur,Manual,,,FWD,hatchback,maruti alto k10,maruti,jaipur,₹4.35 Lakh
Nov 2015,2015,"65,000 Kms",998 cc,First Owner,3,67.05bhp@6000rpm,5,160 mm,,35 Litres,2,Petrol,bhiwadi,Manual,,,FWD,hatchback,maruti alto k10,maruti,jaipur,₹2.85 Lakh
Feb 2018,2018,"41,977 Kms",998 cc,First Owner,3,65.71bhp@5500rpm,5,,214  Litres,27 Litres,4,Petrol,panvel,Manual,,,FWD,hatchback,maruti alto k10,maruti,mumbai,₹2.87 Lakh
Nov 2011,2011,"89,317 Kms",998 cc,First Owner,3,67.05bhp@6000rpm,5,160 mm,,35 Litres,2,Petrol,New Delhi,Manual,,,FWD,hatchback,maruti alto k10,maruti,new delhi,₹1.10 Lakh
Jan 2016,2015,"24,000 Kms",998 cc,First Owner,3,67.05bhp@6000rpm,5,160 mm,,35 Litres,2,Petrol,Pune,Manual,,,FWD,hatchback,maruti alto k10,maruti,pune,₹3.25 Lakh
Sept 2014,2014,"43,443 Kms",998 cc,First Owner,3,65.71bhp@5500rpm,5,,214  Litres,27 Litres,4,Petrol,Pune,Manual,,,FWD,hatchback,maruti alto k10,alto k10,pune,₹2.30 Lakh
Aug 2017,2017,"35,543 Kms",998 cc,Second Owner,3,67.05bhp@6000rpm,5,160 mm,,35 Litres,2,Petrol,Bangalore,Manual,,,FWD,hatchback,maruti alto k10,maruti,bangalore,₹3.34 Lakh
